Business Name,Business ID,Homestate Name,Previous Name,Business Type,Principal Office Address,Registered Agent Name,Status
"THE SEASONS AT LONDONDERRY VILLAGE, LLC",754769,,,Domestic Limited Liability Company,NONE,,Reserved Name Expired
The Seasons of Our Lives,674303,,,Trade Name,"181 Main St, Alton, NH, 03809, USA",,Expired
"THE SEASONS RMC, INC.",143061,,"SAARMC, INC.",Domestic Profit Corporation,"Route 302, Bartlett, NH, 03812, USA","Cargill, Kenneth R, Esq",Good Standing
"The Severson Group, LLC",709258,"The Severson Group, LLC",,Foreign Limited Liability Company,"310 S. Twin Oaks Valley Rd. Ste. 107-226, San Marcos, CA, 92078, USA","Registered Agent Solutions, Inc.",Admin. Suspension
THE SHOP AND GARDENS ON CROSS ROAD,377027,,,Trade Name,"84 CROSS RD, SHARON, NH, 03458, USA",,Expired
THE SIBSON CORPORATION,101236,,,Domestic Profit Corporation,"1039 ISLINGTON ST, PORTSMOUTH, NH, 03801, USA","Shaines, Robert A, Esq",Dissolved
THE SOMERSWORTH MASONIC TEMPLE ASSOCIATION,64943,,,Domestic Nonprofit Corporation,"HIGH ST., SOMERSWORTH, NH, 03878, USA",,Admin Diss LLP-CC-NP
The Son of God Fellowship,633018,,,Domestic Nonprofit Corporation,"228 Karatzas Ave, #203, Manchester, NH, 03104, USA",,Good Standing
The Son's of Walt Small Engine Repair and Service LLC,754969,,,Domestic Limited Liability Company,NONE,,Reserved Name Expired
"The Sonatina Center, LLC",727315,,,Domestic Limited Liability Company,"750 Cental Ave, Suite U, Dover, NH, 03820, USA","Ruffini, Marissa",Good Standing
THE SONG-RITE COMPANY,68992,,,Trade Name,"PO BOX 3760, MANCHESTER, NH, 03105, USA",,Expired
"THE SONIC SOURCE, LLC",801936,,,Domestic Limited Liability Company,"54 Covered Bridge Road, Thornton, NH, 03285, USA",Allison Ristola,Not In Good Standing
THE SONLIGHT CHURCH OF CHRIST,270084,,,Domestic Nonprofit Corporation,"PO BOX 572, BERLIN, NH, 03570, USA",,Dissolved
The Sonny M. Armstrong Scholarship Fund,539458,,,Domestic Nonprofit Corporation,"% Tina M. Knight 329 Lempster St, Lempster, NH, 03606, USA",,Admin Diss LLP-CC-NP
The Sons of the American Legion E. Roger Montgomery Post #81,654892,,,Domestic Nonprofit Corporation,"169 Boundtree Rd, Contoocook, NH, 03229, USA",,Dissolved
THE SPARROW'S SONG,230565,,,Trade Name,"194 OLD CANDIA RD, AUBURN, NH, 03032, USA",,Expired
"THE SPERRY AND HUTCHINSON COMPANY, INC.",9865,"THE SPERRY AND HUTCHINSON COMPANY, INC.",,Foreign Profit Corporation,"315 PARK AVENUE S, NEW YORK, NY, 10010, USA",,Withdrawn
The Steve T. Jackson Real Estate Team LLC,537255,,,Domestic Limited Liability Company,"563 ROUTE 106 NORTH, LOUDON, NH, 03307, USA","Jackson, Scott R",Admin Dissolution
THE STINSON COTTAGE CORPORATION,204282,,,Domestic Profit Corporation,"% NANCY FITZGERALD VAUGHAN 160 MAIN ST, LITTLETON, NH, 03561, USA","Vaughan, Nancy Fitzgerald, Esq",Dissolved
"THE STINSON LAKE TRUST, INC.",282711,,,Domestic Nonprofit Corporation,"768 DOETOWN RD PO BOX 600, RUMNEY, NH, 03266, USA",,Admin Diss LLP-CC-NP
"The Stinson Lake Trust, Inc.",597367,,,Domestic Nonprofit Corporation,"404 Main St PO Box 600, Rumney, NH, 03266, USA",,Admin Diss LLP-CC-NP
THE SUMMIT AT FOUR SEASONS,41650,,,Domestic Limited Partnership,"PRECISION MANAGEMENT RFD 1 BOX 190, LACONIA, NH, 03246, USA","Hibbard, Edmund S, Esq",Active
THE SUMMIT AT FOUR SEASONS,41651,,,Trade Name,"159 AMHERST ST, NASHUA, NH, 03060, USA",,Expired
The Summit at Four Seasons Owners Association,66025,,,Domestic Nonprofit Corporation,"516 Steele Hill Rd, Sanbornton, NH, 03269, USA",,Good Standing
The Terrace Condominium Association of Hudson,706663,,,Trade Name,"1-29 OLIVER DRIVE, Hudson, NH, 03051, USA",,Expired
"The Thomas and Mary Korson Family Partnership, LLP",670221,"The Thomas and Mary Korson Family Partnership, RLLLP",,Foreign Limited Liability Partnership,"5757 East 22nd Ave, Denver, CO, 80207, USA","McVicar, Douglas",Good Standing
The Thomas Jefferson Society of the United States of America,656141,,,Domestic Nonprofit Corporation,NONE,,Admin Diss LLP-CC-NP
The Thompson & Hoague Associates,B02022,,,Domestic Profit Corporation,"Concord, NH, 03301, USA",,Dissolved
"The Thompson Foundation for Africa, Inc.",569864,"The Thompson Foundation for Africa, Inc.",,Foreign Nonprofit Corporation,"Two O'Neil Court, Exeter, NH, 03833, USA","Thompson, Robert H.",Admin. Suspension
THE THOMPSON INN AT WALLACE HILL,55604,,,Trade Name,"PJO BOX 217, BETHLEHEM, NH, 03574, USA",,Expired
THE THOMPSON INN REALTY,117790,,,Trade Name,"ROUTE 302W, BETHLEHEM, NH, 03574, USA",,Expired
The Thompson Shoe Co.,B53068,,,Domestic Profit Corporation,"Unknown, Concord, NH, 03301, USA",,Admin Dissolution
THE THOMPSON TRIMAX GROUP LLC,409632,,,Domestic Limited Liability Company,"19 STACKPOLE ROAD, SOMERSWORTH, NH, 03878, USA","Thompson, Karen M.",Dissolved
THE THOMPSON/CENTER ASSOCIATION,101700,,,Domestic Nonprofit Corporation,"781 RIDGE RD, NEW DURHAM, NH, 03855, USA",,Admin Diss LLP-CC-NP
"The Thomson Auto Supply Co., Inc.",B02024,,,Domestic Profit Corporation,"88 Prospect St., Manchester, NH, 03101, USA",,Dissolved
"THE THOMSON COMPANY, INC.",19555,,,Domestic Profit Corporation,"P. O. BOX 47, MOULTONBORO, NH, 03254, USA","Decker, David R, Esq",Dissolved
THE TIMBERS ON WINNIPESAUKEE,311474,,,Trade Name,"74 WAGON WHEEL RD, MEREDITH, NH, 03253, USA",,Expired
THE TIMBERS ON WINNIPESAUKEE,81830,,,Trade Name,"WAGON WHEEL TRAIL, MEREDITH, NH, 03253, USA",,Expired
The Tolson Agency Inc.,583628,The Tolson Agency Inc.,,Foreign Profit Corporation,"30 Harding Road, Gorham, ME, 04038, USA","Grimes, Jay",Admin. Suspension
"The Torguson Group, LLC",613277,"The Torguson Group, LLC",,Foreign Limited Liability Company,"9028 ladner street PO box 3000, Bay st louis, MS, 39521, USA",,Admin. Suspension
THE UNION LODGE MASONIC ASSOCIATION,65477,,,Domestic Nonprofit Corporation,"61 Pleasant St, Bristol, NH, 03222, USA",,Good Standing
THE UNITY LODGE MASONIC BUILDING ASSOCIATION,409708,,,Domestic Nonprofit Corporation,"122 MAIN STREET P.O. BOX 272, UNION, NH, 03887, USA",,Admin Diss LLP-CC-NP
The Very Incredible Person Project,696326,,,Trade Name,"PO Box 193, Hillsborough, NH, 03244, USA",,Expired
THE VILLAGE AT THOMPSON'S POND CONDOMINIUM UNIT OWNERS' ASSOCIATION,800366,,,Domestic Nonprofit Corporation,"3 Penstock Way, Newmarket, NH, 03857, USA",,Good Standing
The Village House in Jackson Village,550678,,,Trade Name,"49 Main St PO Box 359, Jackson, NH, 03846, USA",,Expired
The Village Mason,663379,,,Trade Name,"420 Water Village Road, Ossipee, NH, 03864, USA",,Active
"THE VILLAGE STORE, ATKINSON",45852,,,Trade Name,"R.R. #1, BOX 265, MAIN STR., ATKINSON, NH, 03811, USA",,Expired
The Voice of Reason,644727,,,Trade Name,"32 Autumn Rd, Hillsboro, NH, 03244, USA",,Expired
The Well-Seasoned Kitchen,692050,,,Trade Name,"137 Savage Road, Milford, NH, 03055 - 3126, USA",,Expired
"The Wentworth Hotel of Jackson, Inc.",600168,,,Domestic Profit Corporation,"1 Carter Notch Road, Jackson, NH, 03846, USA",Koeppel Eleanor M,Good Standing
"THE WICKSON COMPANIES, INC.",172378,,,Domestic Profit Corporation,"105 GULF RD, DERRY, NH, 03038, USA","Wickson, Richard L",Dissolved
THE WILSON CREEK COMPANY,45932,,,Trade Name,"2 STRING BRIDGE, EXETER, NH, 03833, USA",,Expired
THE WILSON L. AND ELIZABETH A. POLLARD REAL ESTATE PARTNERSHIP,311593,,,Trade Name,"KINGS HWY RD, LEBANON, NH, 03766, USA",,Expired
THE WILSON L. AND ELIZABETH A. POLLARD REAL ESTATE PARTNERSHIP,205462,,,Trade Name,"KINGS HIGHWAY ROAD, LEBANON, NH, 03766, USA",,Expired
THE WILSON L. AND ELIZABETH A. POLLARD REAL ESTATE PARTNERSHIP,815533,,,Trade Name,"35 Old Etna Road, Lebanon, NH, 03766, USA",,Active
The Wilson Social Club,680482,,,Domestic Nonprofit Corporation,"Unknown, Manchester, NH, 03101, USA",,Admin Diss LLP-CC-NP
THE WILTON MASONIC TEMPLE ASSOCIATION,64413,,,Domestic Nonprofit Corporation,"3 Forest Road, Wilton, NH, 03086, USA",,Good Standing
"The Wolfeboro Masonic Temple Association, Inc.",549199,,,Domestic Nonprofit Corporation,"35 Trotting Track Road, Wolfeboro, NH, 03894, USA",,Good Standing
"THE WOOD LOT, WOOD RECYCLING BY JASON HILL",485949,,,Trade Name,"RTE 12 S 35 CRANE RD, FITZWILLIAM, NH, 03447, USA",,Expired
THE WOODLANDS ON THE MARSH REAL ESTATE,102747,,,Trade Name,"246 WOODLAND RD., HAMPTON, NH, 03842, USA",,Expired
THE WOOLSON & CLOUGH INSURANCE AGENCY,57249,,,Trade Name,"260 MAIN ST, LISBON, NH, 03585, USA",,Expired
THELMA'S ON FRONT STREET,395173,,,Trade Name,"72 FRONT ST PO BOX 423, ROLLINSFORD, NH, 03869, USA",,Expired
"THEO & SON CEDAR REALTY, LLC",465346,,,Domestic Limited Liability Company,"17 Cedar St., Manchester, NH, 03101, USA","Theodosopoulos, Thomas",Admin Dissolution
THEO'S STONE MASONRY,383725,,,Trade Name,"14 CHARLESTON AVENUE, LONDONDERRY, NH, 03053, USA",,Expired
Theodore & Sons,736715,,,Trade Name,"131 Flaghole Rd, Andover, NH, 03216, USA",,Active
"THEODORE J. CUSSON, JR.'S PROFESSIONAL MANAGEMENT SERVICES",68340,,,Trade Name,"PO BOX 1072, MANCHESTER, NH, 03101, USA",,Expired
"THEODORE LOGAN & SON, INC.",53975,"THEODORE LOGAN & SON, INC.",,Foreign Profit Corporation,"971 CONGRESS ST PO BOX 1629, PORTLAND, ME, 04104, USA","Morin, Deith",Admin. Suspension
"THEODORE MINER & SONS, INC.",17373,,,Domestic Profit Corporation,"NORTH ST PO BOX 533, JAFFREY, NH, 03452, USA","Watson, Douglas K",Dissolved
THEOSON CORPORATION,133786,,,Domestic Profit Corporation,"%THEOSON CORPORATION AIRPORT ROAD ROUTE 12-A, WEST LEBANON, NH, 03784, USA","Whelan, Dennis J, Esq",Dissolved
THERESA JEAN SONGBIRD ENTERPRISES,136843,,,Trade Name,"19 ROSS DRIVE, LONDONDERRY, NH, 03053, USA",,Expired
"THERIAULT & SONS, INC.",19520,,,Domestic Profit Corporation,"21 DEXTER ST., NASHUA, NH, 03060, USA","Theriault, David",Dissolved
"THERIAULT AND SONS, INC.",287167,,,Domestic Profit Corporation,"10 AGLIPAY DR, AMHERST, NH, 03031, USA","Theriault, David P",Admin Dissolution
"THERIAULT AND SONS, INC.",76610,,,Domestic Profit Corporation,"10 AGILPAY ST, AMHERST, NH, 03031, USA","Theriault, David P",Dissolved
"THERIAULT AND SONS, LLC",791567,,,Domestic Limited Liability Company,"10 Aglipay Drive, Amherst, NH, 03031, USA",David P. Theriault,Not In Good Standing
Thermal Mass Inc.,121339,,"NILSEN MASONRY CO., INC.",Domestic Profit Corporation,"399 Harriman Rd, Dalton, NH, 03598, USA","Nilsen, Elizabeth",Not In Good Standing
Thermo Fisher Scientific Chemicals Inc.,481768,Thermo Fisher Scientific Chemicals Inc.,"JOHNSON MATTHEY CATALOG COMPANY, INC.",Foreign Profit Corporation,"2 RADCLIFF ROAD, Tewksbury, MA, 01876, USA","Capitol Corporate Services, Inc.",Good Standing
THIBAULT MASONRY,56143,,,Trade Name,"OXFORD RD., WINDHAM, NH, 03087, USA",,Expired
THIBODEAU & SON'S FLOORING,184229,,,Trade Name,"6 TOLLES ST., HUDSON, NH, 03051, USA",,Expired
THIBODEAU & SONS PAINTING LLC,797169,,,Domestic Limited Liability Company,"19 Railroad Ave, Rochester, NH, 03839, USA",Jason Thibodeau,Good Standing
THINGS ON STRINGS AND OTHER PLAYTHINGS,148138,,,Trade Name,"14R LANCELOT DR., DERRY, NH, 03038, USA",,Expired
THIRD HUDSON LIMITED PARTNERSHIP,50748,,,Domestic Limited Partnership,"56 KEARNEY ROAD, NEEDHAM, MA, 02192, USA",,Active
"Third Season Studios, LLC",587202,,,Domestic Limited Liability Company,"616 Portland Street Unit 18, Rochester, NH, 03867, USA","Jenness, Benjamin Alden",Admin Dissolution
"THIRTY SIX OTTERSON, INC.",22805,,,Domestic Profit Corporation,"36 OTTERSON ST., NASHUA, NH, 03060, USA","Lesieur, Leo R, Esq",Admin Dissolution
"THISTLE & SON BUILDERS, LLC",764670,,,Domestic Limited Liability Company,"121 Ridge Road, Bristol, NH, 03222, USA",Thistle William Jr.,Not In Good Standing
THISTLES ON THE MOOR,131679,,,Trade Name,"P.O. BOX 601, GOFFSTOWN, NH, 03045, USA",,Expired
THOM. S. CARLSON CORP.,81819,THOM. S. CARLSON CORP.,,Foreign Profit Corporation,"PO BOX 5454, BOSTON, MA, 02102, USA","Donovan, Thomas J, Esq",Admin. Suspension
"THOMAS & SON ARTESIAN WELL CO., INC.",125760,,,Domestic Profit Corporation,"494 Whittier Highway, Moultonborough, NH, 03254, USA","Thomas, Jerome E",Good Standing
THOMAS & SON ARTESIAN WELL COMPANY,126001,,,Trade Name,"P.O. BOX 1283, CENTRE HARBOR, NH, 03226, USA",,Active
"THOMAS BASSETT & SON, LLC",361717,,,Domestic Limited Liability Company,"41 Oaklands Road, Newfields, NH, 03856, USA","Bassett, Thomas",Good Standing
Thomas Bouchard + Sons LLC,624155,,,Domestic Limited Liability Company,"66 South Road, Deerfield, NH, 03037, USA","Bouchard, Thomas",Admin Dissolution
"Thomas Butler & Son, Inc.",651469,,,Domestic Profit Corporation,"Unknown, Hillsborough, NH, 03244, USA",,Admin Dissolution
THOMAS E. MASON,311762,,,Trade Name,"99 POWERS STREET #135, MILFORD, NH, 03055, USA",,Expired
"THOMAS G. SIMPSON ENTERPRISES, INC.",10501,,"CRYSTAL COFFEE SERVICE, INC.",Domestic Profit Corporation,"680 E SIMPSON ST PO BOX 7792, JACKSON, WY, 83001, USA","Cook, James G, Esq",Admin Dissolution
Thomas J. Edwards & Sons,623478,,,Trade Name,"51 Wason Rd, Chester, NH, 03036, USA",,Expired
"THOMAS MACPHERSON & ASSOCIATES, INC.",291206,,,Domestic Profit Corporation,"BEECH HILL, WARREN, NH, 03279, USA","Macpherson, Thomas",Dissolved
THOMAS MATTHEW PREST & SONS,247411,,,Trade Name,"260 HAYDEN RD, HOLLIS, NH, 03049, USA",,Expired
"Thomas McCormack Masonry, LLC",716613,,,Domestic Limited Liability Company,"217 Parade Road, Apt #1, Meredith, NH, 03253, USA","McCormck, Thomas , II",Administratively Dissolved
THOMAS RICHARDSON CONSULTING,50566,,,Trade Name,"4 WESTBROOK DR, NASHUA, NH, 03060, USA",,Expired
"THOMAS ROBINSON ASSOCIATES, INC.",92507,,,Domestic Profit Corporation,"426 CRESTVIEW CIRCLE, MANCHESTER, NH, 03104, USA","Langlois, Stephen M.",Dissolved
THOMAS SONS PAINTING AND LIGHT REMODELING,51821,,,Trade Name,"86 MILLVILLE STREET, SALEM, NH, 03079, USA",,Expired
"THOMAS WITTENBERG & SONS, LLC",531329,,,Domestic Limited Liability Company,"21 Oxbow Road, Center Barnstead, NH, 03225, USA","Goldman, Stephen R, Esq",Good Standing
Thomason Mechanical,543984,,,Trade Name,"10455 Slusher Dr, Santa Fe Springs, CA, 90670, USA",,Expired
THOMASON MECHANICAL CORPORATION,220224,THOMASON MECHANICAL CORPORATION,,Foreign Profit Corporation,"19002 S SANTA FE AVE, RANCHO DOMINGUEZ, CA, 90221, USA",CORPORATION SERVICE COMPANY,Admin. Suspension
"THOMASON PERFORMANCE, LLC",488468,,,Domestic Limited Liability Company,"12 Liberty Drive Unit 9, Londonderry, NH, 03053, USA","Thomason, Gregory",Admin Dissolution
"Thomason Performance, LLC",695193,,,Domestic Limited Liability Company,"3 Birch Ridge Trail, Nashua, NH, 03062, USA","Thomason, Gregory",Administratively Dissolved Name Protection
THOMCORP HOLDINGS INC.,209918,THOMCORP HOLDINGS INC.,THOMSON FINANCIAL INC.,Foreign Profit Corporation,"195 Broadway, New York, NY, 10007, USA","The Prentice-Hall Corporation System, Inc.",Merged
THOMCORP HOLDINGS INC.,209918,THOMCORP HOLDINGS INC.,THOMSON INFORMATION SERVICES INC.,Foreign Profit Corporation,"195 Broadway, New York, NY, 10007, USA","The Prentice-Hall Corporation System, Inc.",Merged
THOMCORP HOLDINGS INC.,209918,THOMCORP HOLDINGS INC.,THOMSON LEGAL PUBLISHING INC.,Foreign Profit Corporation,"195 Broadway, New York, NY, 10007, USA","The Prentice-Hall Corporation System, Inc.",Merged
"THOMPSON & GOULD, INC.",19546,,,Domestic Profit Corporation,"49 LITTLE RIVER RD, KINGSTON, NH, 03848, USA","Gould, Brenda T",Dissolved
"THOMPSON & GREENWALD PSYCHIATRIC ASSOCIATES, P.A.",139636,,,Domestic Professional Profit Corporation,"355 KEARSARGE MT RD, WARNER, NH, 03278, USA","Dastin, Robert E, Esq",Dissolved
THOMPSON & HOAGUE COMPANY,19547,,,Domestic Profit Corporation,"16 LOW AVE PO BOX 894, CONCORD, NH, 03301, USA","Rakowsky, Connie L, Esq",Dissolved
THOMPSON & SONS,91394,,,Trade Name,"39 SOUTH AVENUE, DERRY, NH, 03038, USA",,Expired
"THOMPSON & ZUBER, INCORPORATED",19553,,,Domestic Profit Corporation,"RFD 1 CARLTON RD., KEENE, NH, 03431, USA","DONALD E REID, JR, ESQ",Dissolved
"THOMPSON 30 MINUTE WORKOUT, INC.",416866,,,Domestic Profit Corporation,"3 WOODLAND DRIVE, LITCHFIELD, NH, 03052, USA","James Kaklamanos, Professional Corporation",Admin Dissolution
"THOMPSON 5, LLC",439561,,,Domestic Limited Liability Company,"25 PILGRIM DR, BEDFORD, NH, 03110, USA","Thompson, Mark E",Admin Dissolution
"Thompson and Gamache, Inc.",645323,,,Domestic Profit Corporation,"Unknown, Epsom, NH, 03234, USA",,Admin Dissolution
"THOMPSON AND THOMPSON FLOORING, INC.",133754,,,Domestic Profit Corporation,"26 MAIN ST, PLAISTOW, NH, 03865, USA","Thompson, William H",Dissolved
THOMPSON APPRAISAL COMPANY,56166,,,Trade Name,"45 AIRPORT RD, CONCORD, NH, 03301, USA",,Expired
"THOMPSON APPRAISAL COMPANY, INC.",72740,,,Domestic Profit Corporation,"141 AIRPORT RD, CONCORD, NH, 03301, USA","Thompson, Charles W",Dissolved
THOMPSON AUTO GLASS CORPORATION,814832,,,Domestic Profit Corporation,"PO Box 4155, Windham, NH, 03087, USA",Kelly Thompson,Good Standing
THOMPSON AUTOMOTIVE GROUP,489645,,,Trade Name,"3 MARMON DR, NASHUA, NH, 03060, USA",,Active
THOMPSON AUTOMOTIVE TECHNOLOGY CORPORATION,825794,,,Domestic Profit Corporation,"26 Haverhill Rd, Windham, NH, 03087, USA",Kelly Thompson,Good Standing
THOMPSON AUTOMOTIVE WHOLESALERS,124542,,,Trade Name,"15 NORTH LOWELL ROAD, WINDHAM, NH, 03087, USA",,Active
"Thompson Automotive, Inc.",151346,,,Domestic Profit Corporation,"3 Marmon Dr, Nashua, NH, 03060, USA","Thompson, Jeffrey P",Good Standing
"THOMPSON BAKERY SUPPLIES, INC.",86930,"THOMPSON BAKERY SUPPLIES, INC.",,Foreign Profit Corporation,"230 SHAKER RD, ENFIELD, CT, 06082, USA",C T Corporation System,Admin. Suspension
Thompson Brook Meadow Condominiums Owners' Association,562987,,,Domestic Nonprofit Corporation,"C/o Jeffrey White 32 Piscataqua Rd, Dover, NH, 03820, USA",,Admin Diss LLP-CC-NP
"Thompson Brook, LLC",747935,,,Domestic Limited Liability Company,"65 Main Street, Ste 2, Dover, NH, 03820, USA","Weibrecht, Kimberly",Good Standing
THOMPSON BUILDERS,822923,,,Trade Name,"349 Mountain Rd, Center Tuftonboro, NH, 03816, USA",,Active
Thompson Center,609592,,,Trade Name,"400 North Main St, Rochester, NH, 03867, USA",,Expired
Thompson Center Holding Corporation,495837,Thompson Center Holding Corporation,BEAR LAKE ACQUISITION CORP.,Foreign Profit Corporation,"2100 Roosevelt Avenue, Springfield, MA, 01104, USA",C T Corporation System,Withdrawn by Merger
"THOMPSON CHEVROLET BUICK OLDSMOBILE PONTIAC, INC.",35373,,,Domestic Profit Corporation,"RT 302, LISBON RD, LITTLETON, NH, 03561, USA",,Dissolved
THOMPSON COMMUNICATIONS,466311,,,Trade Name,"68 DENNY HILL ROAD, Warner, NH, 03278, USA",,Active
THOMPSON CONNECTICUT ASSOCIATES LIMITED PARTNERSHIP,148267,,,Domestic Limited Partnership,"APPLETON BUSINESS CENTER P.O. BOX 250, NEW ISPWICH, NH, 03071, USA","Kelley, William H, Esq",Active
"THOMPSON CONSTRUCTION COMPANY, INC.",59346,,,Domestic Profit Corporation,"FARMINGTON RD PO BOX 5002, ROCHESTER, NH, 03866, USA","Garland, Michael",Merged
"Thompson Controls, Inc.",672216,,,Domestic Profit Corporation,NONE,,Merged
"THOMPSON CRITTER SITTING, L.L.C.",465548,,,Domestic Limited Liability Company,"PO BOX 106, MARLBOROUGH, NH, 03455, USA","Kane, Larry S, Esq",Admin Dissolution
THOMPSON DESIGN SERVICES,141294,,,Trade Name,"19 A RANGER RD., HUDSON, NH, 00305, USA",,Expired
THOMPSON DISPOSAL,185642,,,Trade Name,"35 DEARBORN AVE., HAMPTON, NH, 03842, USA",,Expired
"Thompson Distributing, LLC",695087,,,Domestic Limited Liability Company,"365B Pembroke st, Pembroke, NH, 03275, USA","Thompson, John D",Administratively Dissolved Name Protection
"THOMPSON DUNBAR CO., INC.",8262,,DUNBAR FUEL CO. INC.,Domestic Profit Corporation,"159 N ADAMS ST, MANCHESTER, NH, 03104, USA","Bigelow, T William, Esq",Dissolved
"THOMPSON EAGLESON DESIGN, INC.",309542,,,Domestic Profit Corporation,"7 CRANBERRY LN, HAMPTON, NH, 03842, USA",JOAN THOMPSON EAGLESON,Admin Dissolution
THOMPSON ELECTRIC,56169,,,Trade Name,"378 MAIN ST, PLYMOUTH, NH, 03264, USA",,Expired
THOMPSON ELECTRIC LIMITED LIABILITY CORPORATION,793962,,,Domestic Limited Liability Company,"13 Main Street, Kingston, NH, 03848, USA",Robin Louise Thompson,Not In Good Standing
THOMPSON ELECTRIC SERVICE,798051,,,Trade Name,"45 Hunter Drive, Epping, NH, 03042, USA",,Active
"THOMPSON ELECTRICAL CONTRACTORS, INC.",114929,,,Domestic Profit Corporation,"RFD 1 BOX 7, PLYMOUTH, NH, 03264, USA","Deachman, Ross V, Esq",Dissolved
THOMPSON ENTERPRISE OF MANCHESTER,118934,,,Trade Name,"RFD 9, BOX 426 C, LACONIA, NH, 03246, USA",,Expired
"THOMPSON ENTERPRISES, INC.",47450,,,Domestic Profit Corporation,"54 SCHOOL ST., TILTON, NH, 03276, USA","Falardeau, George J, Esq",Dissolved
Thompson Family Cottage LLC,696189,,,Domestic Limited Liability Company,"1000 Elm Street, Manchester, NH, 03101, USA",Sheehan Phinney Bass & Green PA,Good Standing
"Thompson Family Forest, LLC",729809,,,Domestic Limited Liability Company,"197 Cross Hill Road, Wilmot, NH, 03287, USA","Thompson, Charles W",Good Standing
THOMPSON FAMILY LIMITED PARTNERSHIP,274153,,,Domestic Limited Partnership,"22 EVERGREEN RD, Hampton Falls, NH, 03844, USA","Thompson, John E, Jr",Active
"Thompson Flanagan & Company, LLC",736732,"Thompson Flanagan & Company, LLC",,Foreign Limited Liability Company,"626 West Jackson Blvd #500, Chicago, IL, 60661, USA","Registered Agent Solutions, Inc.",Good Standing
"Thompson Forestry Services, PLLC",532052,,,Domestic Professional Limited Liability Company,"18 South Station Road, No Woodstock, NH, 03262, USA",Thompson David A,Good Standing
THOMPSON FUEL,56170,,,Trade Name,"95 PARK ST, NORTHFIELD, NH, 03276, USA",,Expired
Thompson Granulated Flour Company,628045,,,Domestic Profit Corporation,NONE,,Admin Dissolution
THOMPSON HAYWARD CHEMICAL COMPANY,134774,THOMPSON HAYWARD CHEMICAL COMPANY,,Foreign Registered Corporate Name,"5200 SPEAKER ROAD, KANSAS CITY, KS, 66106, USA",,Expired
THOMPSON HAYWARD CHEMICAL COMPANY,182166,THOMPSON HAYWARD CHEMICAL COMPANY,,Foreign Registered Corporate Name,"5200 SPEAKER ROAD, KANSAS CITY, 66106, USA",,Expired
THOMPSON HEALTH CARE,69669,,,Trade Name,"19 PARKHURST STREET, LEBANON, NH, 03766, USA",,Expired
Thompson Hennessey & Partners LLC,629002,Thompson Hennessey & Partners LLC,,Foreign Limited Liability Company,"Newmark 1 Federal Street, Boston, MA, 02110, USA","Miller, Jeremey A, Esq",Admin. Suspension
Thompson Home Inspection,696915,,,Trade Name,"120 Magnolia Drive, Goffstown, NH, 03045, USA",,Expired
THOMPSON HOUSE COMMUNITY PROGRAM,131974,,,Trade Name,"ROUTE 153, FREEDOM, NH, 03836, USA",,Expired
Thompson House Community Program of Lakeview Rehabilitation Center,584020,,,Trade Name,"101 Highwatch Rd, Center Ossipee, NH, 03814, USA",,Expired
THOMPSON HOUSE EATERY,51529,,,Trade Name,"Route 16A PO Box BB, Jackson, NH, 03846, USA",,Expired
THOMPSON HOUSE EATERY,762357,,,Trade Name,"193 Main Street,, Jackson, NH, 03846, USA",,Active
"Thompson House Eatery, LLC",651317,,,Domestic Limited Liability Company,"193 Main Street, Jackson, NH, 03846, USA","Baima, Larry",Admin Dissolution
"Thompson Industries, Inc.",645324,,,Domestic Profit Corporation,"Unknown, Lancaster, NH, 03584, USA",,Admin Dissolution
Thompson Inn and Cyderhouse,750509,,,Trade Name,"90 Bennett Road, Durham, NH, 03824, USA",,Active
Thompson Inn At Highland Farm LLC,639457,,,Domestic Limited Liability Company,"90 Bennett Road, Durham, NH, 03824, USA","Lamb, Stephen",Admin Dissolution
Thompson Inn Operations LLC,742690,,,Domestic Limited Liability Company,"90 Bennett Road, Durham, NH, 03824, USA","Lamb, Lori",Good Standing
THOMPSON INSURANCE AGENCY INC.,817472,,,Domestic Profit Corporation,"63 South Main Street, Concord, NH, 03301, USA",Crystal-lee Thompson,Good Standing
Thompson Insurance Enterprises of Delaware,580184,,,Trade Name,"3380 Chastain Meadows Parkway Suite 100, Kennesaw, GA, 30144, USA",,Active
Thompson Insurance Enterprises of Delaware,580185,"Thompson Insurance Enterprises, LLC",,Foreign Limited Liability Company,"3380 Chastain Meadows Parkway Suite 100, Kennesaw, GA, 30144, USA",C T Corporation System,Good Standing
"THOMPSON INTELLECTUAL PROPERTIES, LTD.",196358,,,Domestic Profit Corporation,"FARMINGTON RD PO BOX 5002, ROCHESTER, NH, 03866, USA","Brown, Steven G, Esq",Merged
THOMPSON INVESTMENT CASTING,142935,,,Trade Name,"FARMINGTON ROAD, ROCHESTER, NH, 03867, USA",,Expired
Thompson Investment Casting,665852,,,Trade Name,"400 North Main St, Rochester, NH, 03866, USA",,Expired
"THOMPSON LANE, LLC",783597,,,Domestic Limited Liability Company,"12 Thompson Lane, Bartlett, NH, 03812, USA","Cooper Cargill Chant, P.A.",Good Standing
"Thompson Law Offices, P.L.L.C.",547729,,,Domestic Professional Limited Liability Company,"163 Wedgewood Lane, Manchester, NH, 03109, USA","Thompson, Ann M",Admin Dissolution
