Montana Business Search

Business Name or Number,son
,Contains
System Through Date,11/08/2019

Entity Name,Entity Number,Known in Montana As/Alternate Name,Status,Registration Date,Postal Address
JASON WARD,I226344,N/A,Active Good Standing,10/09/2008,"Street Address 1 N CHOTEAU AVE, HARDIN, Montana, 59034, United States Mailing Address"
"PARSONS BEHLE & LATIMER, A PROFESSIONAL CORPORATION",CRA0000120,N/A,Active Good Standing,11/01/2019,"Street Address 110 East Broadway, Suite 206, Missoula, Montana, 59802, United States Mailing Address P.O. Box 7369, Missoula, Montana, 59807, United States"
"ANDERSON REGISTERED AGENTS, INC.",CRA0000122,N/A,Active Good Standing,11/06/2019,"Street Address 1925 Grand Avenue, Suite 127, Billings, Montana, 59102, United States Mailing Address Montana, United States"
"BJORNSON CORPORATE SERVICES, LLC",I328109,N/A,Active Good Standing,06/02/2016,"Street Address 2809 GREAT NORTHERN LOOP #100, MISSOULA, Montana, 59808, United States Mailing Address"
J E LARSON DAVIS,I236690,N/A,Active Good Standing,03/30/2009,"Street Address 2047 N LAST CHANCE GULCH #200, HELENA, Montana, 59601, United States Mailing Address"
BISON STRUCTURAL,A1113602,N/A,Active Good Standing,03/25/2019,Assumed Business Name,
Benson Upholstery,A1113603,N/A,Active Good Standing,03/25/2019,Assumed Business Name,
Patterson Insurance Agency,A1113792,N/A,Active Good Standing,03/26/2019,Assumed Business Name,
Lora Thorson Creative,A1113864,N/A,Active Good Standing,03/27/2019,Assumed Business Name,
Erickson Building & Construction,A1113977,N/A,Active Good Standing,03/27/2019,Assumed Business Name,
DAVE JERTSON AND ASSOCIATES,A032791,N/A,Inactive Expired,12/17/1992,Assumed Business Name,
WILKERSON LITTLE BIG HORSE ARABIAN RANCH,A003224,N/A,Inactive Expired,09/21/1982,Assumed Business Name,
"Country Inn & Suites By Radisson, Kalispell, MT - Glacier Lodge",A1114541,N/A,Active Good Standing,04/02/2019,Assumed Business Name,
POLSON TAPE & SKATE,A018833,N/A,Inactive Expired,01/03/1989,Assumed Business Name,
Jay Rock Masonry,A1114933,N/A,Active Good Standing,04/04/2019,Assumed Business Name,
Hendrickson JV,A1114948,N/A,Active Good Standing,04/04/2019,Assumed Business Name,
Browsing Bison Books,A1115064,N/A,Active Good Standing,04/05/2019,Assumed Business Name,
Hudson Coffey Press,A1115108,N/A,Active Good Standing,04/05/2019,Assumed Business Name,
J. BEAU HANSON BUSINESS BROKERING,A121546,N/A,Inactive Expired,04/27/2005,Assumed Business Name,
Masonry by zeb zahn,A1115453,N/A,Active Good Standing,04/09/2019,Assumed Business Name,
Mark McCarthy DDS Personnel Concepts,A1115542,N/A,Active Good Standing,04/10/2019,Assumed Business Name,
Steve Wilson Construction,A1115598,N/A,Active Good Standing,04/11/2019,Assumed Business Name,
Art Anderson,A1115736,N/A,Active Good Standing,04/11/2019,Assumed Business Name,
"Emma R Bryson, LMT",A1115786,N/A,Active Good Standing,04/11/2019,Assumed Business Name,
JACKSON PAINTING,A135680,N/A,Inactive Expired,07/24/2006,Assumed Business Name,
Erickson Trucking,A1116171,N/A,Active Good Standing,04/15/2019,Assumed Business Name,
Nelson Signature Painting,A1116252,N/A,Active Good Standing,04/16/2019,Assumed Business Name,
Scott Oleson Construction,A1116321,N/A,Active Good Standing,04/16/2019,Assumed Business Name,
JACOBSON SERVICES,A070900,N/A,Inactive Expired,12/23/1998,Assumed Business Name,
Parsons & Sons Construction,A1116340,N/A,Active Good Standing,04/17/2019,Assumed Business Name,
Wilkinson Finishing,A1116446,N/A,Active Good Standing,04/17/2019,Assumed Business Name,
Ellingson Contracting,A1116575,N/A,Active Good Standing,04/18/2019,Assumed Business Name,
Medicine Bull Bison Ranch,A1116603,N/A,Active Good Standing,04/18/2019,Assumed Business Name,
WILSON'S WORMS,A067816,N/A,Inactive Expired,06/26/1998,Assumed Business Name,
United Bison Protection,A1116917,N/A,Active Good Standing,04/22/2019,Assumed Business Name,
Jaylin Knutson,A1117145,N/A,Active Good Standing,04/24/2019,Assumed Business Name,
A Personal Touch Cleaning,A1117168,N/A,Active Good Standing,04/24/2019,Assumed Business Name,
RYAN THOMPSON BUILDERS,A216711,N/A,Inactive Expired,07/15/2013,Assumed Business Name,
JUAN CASAS MASONRY,A111728,N/A,Inactive Expired,04/09/2004,Assumed Business Name,
MERLINS MASONRY & CONSTRUCTION,A076909,N/A,Inactive Expired,11/30/1999,Assumed Business Name,
STAR LIBERTY RANCH POLSON MT,A226766,N/A,Active Good Standing,05/12/2014,Assumed Business Name,
MY THREE SONS CONSTRUCTION,A030632,N/A,Inactive Expired,06/01/1992,Assumed Business Name,
Windsong Development,A1117673,N/A,Active Good Standing,04/29/2019,Assumed Business Name,
FLBJohnson Contracting,A1118217,N/A,Active Good Standing,05/02/2019,Assumed Business Name,
Johnson Property Management,A1118325,N/A,Active Good Standing,05/03/2019,Assumed Business Name,
Mortenson Electric,A1118494,N/A,Active Good Standing,05/06/2019,Assumed Business Name,
Yogesh Simpson Design,A1118580,N/A,Active Good Standing,05/07/2019,Assumed Business Name,
Josh Anderson Independent Contractor,A1118740,N/A,"Inactive, Cancelled",05/08/2019,Assumed Business Name,
ALLISON BROOKE DESIGN,A196676,N/A,Inactive Expired,11/17/2011,Assumed Business Name,
David Ferrari Wilson Esquire,A1119063,N/A,Active Good Standing,05/10/2019,Assumed Business Name,
ROCKIN' LAWSON MASONRY,A162408,N/A,Inactive Expired,12/04/2008,Assumed Business Name,
R & S PERSONALIZED TRANSPORTATION SERVICES,A076421,N/A,"Inactive, Cancelled",10/15/1999,Assumed Business Name,
TameraGleason.com,A1119500,N/A,Active Good Standing,05/15/2019,Assumed Business Name,
Anderson Towing 2,A1119545,N/A,Active Good Standing,05/15/2019,Assumed Business Name,
Anderson Towing 3,A1119546,N/A,Active Good Standing,05/15/2019,Assumed Business Name,
Johnsons Fine Carpentry,A1119691,N/A,Active Good Standing,05/16/2019,Assumed Business Name,
CITY OF POLSON DBA BUNKER'S RESTAURANT,A236756,N/A,Active Good Standing,03/05/2015,Assumed Business Name,
Jones Masonry,A1119809,N/A,Active Good Standing,05/17/2019,Assumed Business Name,
BRUCE O. LARSON DBA SPARROW SPECIALIZED TRANSPORT,A172001,N/A,Inactive Expired,10/30/2009,Assumed Business Name,
Mary Bryson Consulting,A1119908,N/A,Active Good Standing,05/18/2019,Assumed Business Name,
MT MASONRY,A148334,N/A,Inactive Expired,08/27/2007,Assumed Business Name,
Stoney Mountain Masonry,A1119976,N/A,Active Good Standing,05/20/2019,Assumed Business Name,
Polson paint and Body,A1120015,N/A,Active Good Standing,05/21/2019,Assumed Business Name,
Jason Nimmick Spraying,A1120104,N/A,Active Good Standing,05/20/2019,Assumed Business Name,
Wilson Homestead,A1120200,N/A,Active Good Standing,05/21/2019,Assumed Business Name,
Thompson Lawn Care,A1120342,N/A,Active Good Standing,05/22/2019,Assumed Business Name,
Ethan Donaldson Custom Builders,A1120372,N/A,Active Good Standing,05/22/2019,Assumed Business Name,
Garrison Photography,A1120537,N/A,Active Good Standing,05/23/2019,Assumed Business Name,
JM MASONRY,A197239,N/A,Inactive Expired,12/06/2011,Assumed Business Name,
Rock Solid Masonry,A1120702,N/A,Active Good Standing,05/28/2019,Assumed Business Name,
DOUGLAS WILSON & COMPANY,A001703,N/A,"Inactive, Cancelled",06/19/1981,Assumed Business Name,
Vacation Rentals Polson,A1120718,N/A,Active Good Standing,05/26/2019,Assumed Business Name,
GREASON PROMO,A215514,N/A,"Inactive, Cancelled",05/28/2013,Assumed Business Name,
Madison Valley Construction,A1120737,N/A,Active Good Standing,05/27/2019,Assumed Business Name,
MIKE ANDERSON FENCE & AG CONSTRUCTION,A173259,N/A,"Inactive, Cancelled",12/09/2009,Assumed Business Name,
Paulson Agency,A1121069,N/A,Active Good Standing,05/29/2019,Assumed Business Name,
The Lodges On Seeley Lake,A1121309,N/A,Active Good Standing,05/31/2019,Assumed Business Name,
FMDBison,A1121398,N/A,Active Good Standing,06/03/2019,Assumed Business Name,
Riley & sons construction,A1121651,N/A,Inactive Expired,06/04/2019,Assumed Business Name,
Hands on Learning Childcare Center,A1121729,N/A,Active Good Standing,06/05/2019,Assumed Business Name,
JASON'S AUTO AND PERFORMANCE,A201168,N/A,Inactive Expired,03/27/2012,Assumed Business Name,
ED MURRAY & SONS,A047380,N/A,"Inactive, Cancelled",06/23/1995,Assumed Business Name,
Perry Anderson Construction,A1122261,N/A,Active Good Standing,06/10/2019,Assumed Business Name,
4 SEASONS HOME IMPROVEMENTS,A183888,N/A,Inactive Expired,10/27/2010,Assumed Business Name,
Rebecca Collinson Health Wellness & Inspiration,RN1038349,N/A,Expired,03/13/2017,Reserved Name,
ALME-MUNSON PARTNERSHIP,A029963,N/A,Inactive Expired,04/01/1992,Assumed Business Name,
DAVE & SON TREE SERVICE,A113578,N/A,Inactive Expired,06/16/2004,Assumed Business Name,
Robinson Industries,A1122515,N/A,Active Good Standing,06/12/2019,Assumed Business Name,
FOUR SEASONS GARDENING,A175413,N/A,Inactive Revocation,02/17/2010,Assumed Business Name,
Johnson Custom Finishing,A1122825,N/A,Active Good Standing,06/15/2019,Assumed Business Name,
JAMESON CONSTRUCTION,A207979,N/A,Inactive Expired,10/17/2012,Assumed Business Name,
chase olson construction,A1122910,N/A,Active Good Standing,06/17/2019,Assumed Business Name,
DANSON DEVELOPMENT,A046119,N/A,Inactive Expired,04/18/1995,Assumed Business Name,
Simply Sanderson,A1123083,N/A,Active Good Standing,06/18/2019,Assumed Business Name,
David Johnson Cleaning Services,A1123100,N/A,Active Good Standing,06/18/2019,Assumed Business Name,
ROBERTSON FENCING,A1123335,N/A,Active Good Standing,06/20/2019,Assumed Business Name,
Kayla Jacobson Photography,A1123347,N/A,Active Good Standing,06/20/2019,Assumed Business Name,
FLOWERS ON BROADWAY,A009292,N/A,Inactive Expired,08/05/1985,Assumed Business Name,
Cooperative Personnel Services dba CPS HR Consulting,A1123436,N/A,Active Good Standing,06/21/2019,Assumed Business Name,
Tim's Masonry,A1123679,N/A,Active Good Standing,06/24/2019,Assumed Business Name,
S.W.WILLIAMS AND SON,A075097,N/A,Inactive Expired,07/27/1999,Assumed Business Name,
"Ferguson Enterprises of Montana, LLC",A1123960,N/A,Active Good Standing,06/26/2019,Assumed Business Name,
IMPACT PERSONAL TRAINING,A087539,N/A,Inactive Expired,06/18/2001,Assumed Business Name,
Madison Early Learning School,A1124051,N/A,Active Good Standing,07/11/2019,Assumed Business Name,
Kimberly's Personal Cleaning,A1124311,N/A,Active Good Standing,06/28/2019,Assumed Business Name,
Mason contracting,A1124333,N/A,Active Good Standing,06/29/2019,Assumed Business Name,
JASON PARKER CONSTRUCTION,A191797,N/A,Active Good Standing,06/13/2011,Assumed Business Name,
HEARTSONG GARDENS,A064194,N/A,"Inactive, Cancelled",01/13/1998,Assumed Business Name,
Sean's Seasonal Services,A1124615,N/A,Active Good Standing,07/02/2019,Assumed Business Name,
DAVE WALKER CONSTRUCTION,A078224,N/A,Active Pending Expiration,02/07/2000,Assumed Business Name,
A. L. WILLIAMS/JOSEPH LEE JOHNSON,A011059,N/A,Inactive Expired,03/24/1986,Assumed Business Name,
Pierson Services,A1124872,N/A,Active Good Standing,07/08/2019,Assumed Business Name,
Anderson Consulting Services,A1124897,N/A,Active Good Standing,07/08/2019,Assumed Business Name,
Etcheson Construction,A1124925,N/A,Active Good Standing,07/08/2019,Assumed Business Name,
POLSON MARINE SERVICE,A031547,N/A,Inactive Expired,08/28/1992,Assumed Business Name,
Hanson Excavating & Trucking,A1125318,N/A,Active Good Standing,07/11/2019,Assumed Business Name,
Maia Johnson,A1125354,N/A,Active Good Standing,07/11/2019,Assumed Business Name,
Hendrickson Court Reporting,A1125376,N/A,Active Good Standing,07/11/2019,Assumed Business Name,
ACORDIA PERSONAL INSURANCE SERVICES,A048720,N/A,Inactive Revocation,09/19/1995,Assumed Business Name,
LARSONS GENERAL CONTRACTING,A183551,N/A,Inactive Expired,10/15/2010,Assumed Business Name,
Bruhn & Sons Construction,A1125611,N/A,Active Good Standing,07/15/2019,Assumed Business Name,
Olson Creations,A1125810,N/A,Active Good Standing,07/16/2019,Assumed Business Name,
POLSON BAY GROCERY,A224781,N/A,Active Good Standing,03/20/2014,Assumed Business Name,
SWANSON TECHNICAL,A224870,N/A,Active Good Standing,03/21/2014,Assumed Business Name,
HANS MCPHERSON FARM,A227653,N/A,Active Good Standing,06/04/2014,Assumed Business Name,
BARNEY JACKSON AND SONS,A1126313,N/A,Active Good Standing,07/22/2019,Assumed Business Name,
JACKSON'S MORGAN HORSE RANCH,A116127,N/A,Inactive Expired,10/07/2004,Assumed Business Name,
A. L. WILLIAMS/ROD WILSON OFFICE,A020525,N/A,Inactive Expired,07/17/1989,Assumed Business Name,
CORVALLIS SMITHSONIAN TOUR 2008,A144756,N/A,Inactive Expired,05/03/2007,Assumed Business Name,
BRANSON FIX-N-FINISH,A141682,N/A,Inactive Expired,02/09/2007,Assumed Business Name,
ALLISON ENTERPRISES,A067290,N/A,Inactive Expired,05/28/1998,Assumed Business Name,
JOHNSON'S BITTERROOT GELBVIEH,A226741,N/A,Inactive Expired,05/12/2014,Assumed Business Name,
Liaison Holdings LLC,A1127042,N/A,Active Good Standing,07/30/2019,Assumed Business Name,
JONI BENSON PIANO STUDIO,A183763,N/A,Inactive Expired,10/22/2010,Assumed Business Name,
Peterson and Sons,A1127733,N/A,Active Good Standing,08/06/2019,Assumed Business Name,
R C ANDERSON FAMILY CONSTRUCTION,A208832,N/A,Inactive Expired,11/15/2012,Assumed Business Name,
steve olson construction,A1127982,N/A,Active Good Standing,08/07/2019,Assumed Business Name,
PARSONS CARPENTRY CONST.,A1128004,N/A,Active Good Standing,08/08/2019,Assumed Business Name,
Boudreau and Son Carpentry Services,A1128008,N/A,Active Good Standing,08/08/2019,Assumed Business Name,
Larson Painting,A1128306,N/A,Active Good Standing,08/11/2019,Assumed Business Name,
THE MADISONIAN,A1128383,N/A,Active Good Standing,08/12/2019,Assumed Business Name,
RANDY JOHNSON CHINKING,A099565,N/A,Inactive Expired,12/18/2002,Assumed Business Name,
A. L. WILLIAMS/DOUGLAS GENE PETERSON,A015403,N/A,Inactive Expired,10/16/1987,Assumed Business Name,
buzz nelson investments,A1128522,N/A,Active Good Standing,09/16/2019,Assumed Business Name,
Jill Jackson Bodywork and Yoga,A1128645,N/A,Active Good Standing,08/14/2019,Assumed Business Name,
Glacier Bison,A1128661,N/A,Active Good Standing,08/14/2019,Assumed Business Name,
Scott Walters Masonry,A1128690,N/A,Active Good Standing,08/14/2019,Assumed Business Name,
ALL SEASON SPORT AND CYCLE,A031136,N/A,Inactive Expired,07/17/1992,Assumed Business Name,
HUTCHINSON HOMES,A157697,N/A,Inactive Expired,06/18/2008,Assumed Business Name,
Stephenson Homes,A1128971,N/A,Active Good Standing,08/16/2019,Assumed Business Name,
Alyssa Johnson,A1129356,N/A,Active Good Standing,08/21/2019,Assumed Business Name,
Anderson Towing 4,A1129434,N/A,Active Good Standing,08/21/2019,Assumed Business Name,
Anderson Towing 5,A1129435,N/A,Active Good Standing,08/21/2019,Assumed Business Name,
Alverson Construction,A1129522,N/A,Active Good Standing,08/22/2019,Assumed Business Name,
"Kara Erickson, Virtual Assistant",A1129545,N/A,Active Good Standing,08/22/2019,Assumed Business Name,
Diane Johnson Cottrell,A1129590,N/A,Active Good Standing,08/22/2019,Assumed Business Name,
Nelson PEMF Therapy,A1129804,N/A,Active Good Standing,08/25/2019,Assumed Business Name,
Ashley Mason Consulting,A1130051,N/A,Active Good Standing,08/27/2019,Assumed Business Name,
"ACTION ELECTRIC, INC. DICKINSON",A180345,N/A,Inactive Revocation,07/12/2010,Assumed Business Name,
Scherer & Son Construction Services,A1130185,N/A,Active Good Standing,08/28/2019,Assumed Business Name,
Branson Contracting,A1130242,N/A,Active Good Standing,08/28/2019,Assumed Business Name,
KEVIN R BEASON DRYWALL,A211836,N/A,Active Good Standing,02/22/2013,Assumed Business Name,
April Christofferson,A1130582,N/A,Active Good Standing,08/30/2019,Assumed Business Name,
Aczas Masonry,A1130614,N/A,Active Good Standing,09/01/2019,Assumed Business Name,
Branson Construction,A1130621,N/A,Active Good Standing,09/01/2019,Assumed Business Name,
Madison Woodworks,A1130700,N/A,Active Good Standing,09/03/2019,Assumed Business Name,
Kelli Richardson's 406 Physical Therapy,A1130812,N/A,"Inactive, Cancelled",09/03/2019,Assumed Business Name,
Venegas & sons drywall,A1130893,N/A,Active Good Standing,09/04/2019,Assumed Business Name,
Polson Liquor Store,A1130920,N/A,"Inactive, Cancelled",09/04/2019,Assumed Business Name,
Sidewall Pizza at the Emerson,A1130973,N/A,Active Good Standing,09/05/2019,Assumed Business Name,
Sidewall at the Emerson,A1130974,N/A,Active Good Standing,09/05/2019,Assumed Business Name,
Cam Johnson Construction,A1131029,N/A,Active Good Standing,09/05/2019,Assumed Business Name,
THE MADISON SALON,A196828,N/A,Inactive Expired,11/22/2011,Assumed Business Name,
MORTGAGE AGENTS ONLINE,A115700,N/A,Inactive Expired,09/20/2004,Assumed Business Name,
ARNESON LIVESTOCK / ARNESON PROCESSING,A209148,N/A,Inactive Expired,11/27/2012,Assumed Business Name,
4 Seasons Services,A1131420,N/A,Active Good Standing,09/10/2019,Assumed Business Name,
J & J Rockless Masonry,A1131465,N/A,Active Good Standing,09/10/2019,Assumed Business Name,
GROCERIES ON THE RUN,A043875,N/A,Inactive Expired,01/04/1995,Assumed Business Name,
HERMANSON-COLBO,A036583,N/A,Inactive Expired,09/20/1993,Assumed Business Name,
GRANNY SMITH'S EDUCATIONAL & PERSONAL COMPUTERS,A007126,N/A,Inactive Expired,10/22/1984,Assumed Business Name,
Burleson Logging,A1131749,N/A,Active Good Standing,09/12/2019,Assumed Business Name,
Nelson Transcription Services,A1131946,N/A,Active Good Standing,09/14/2019,Assumed Business Name,
NELSON ENGINEERING AND ASSOCIATES,A086451,N/A,"Inactive, Cancelled",04/17/2001,Assumed Business Name,
High West Masonry and Hardscape,A1132110,N/A,Active Good Standing,09/16/2019,Assumed Business Name,
Ryan Thompson Builders,A1132143,N/A,Active Good Standing,09/17/2019,Assumed Business Name,
KELLY PARSONS,A133144,N/A,Active Good Standing,04/26/2006,Assumed Business Name,
HOME SERVICES ONE,A226604,N/A,Inactive Expired,05/12/2014,Assumed Business Name,
GIRLS ON THE GO,A149317,N/A,"Inactive, Cancelled",10/01/2007,Assumed Business Name,
Advantage Interpersonal Relations Training,A1132600,N/A,Active Good Standing,09/20/2019,Assumed Business Name,
A. L. WILLIAMS/LARRY D. IVERSON,A016906,N/A,Inactive Expired,04/14/1988,Assumed Business Name,
BAM AND SONS CONSTRUCTION,A175900,N/A,Inactive Expired,03/02/2010,Assumed Business Name,
DON LANDON MASONRY CONSTRUCTION,A158654,N/A,Inactive Expired,07/21/2008,Assumed Business Name,
POLSON FLOWER SHOP,A116136,N/A,Inactive Expired,09/27/2004,Assumed Business Name,
A. L. WILLIAMS/HEIDI J. SANDERSON,A012236,N/A,Inactive Expired,08/29/1986,Assumed Business Name,
Kenny Simpson Nissan,A1132976,N/A,Active Good Standing,09/24/2019,Assumed Business Name,
Tronson Agency,A1133145,N/A,Active Good Standing,09/25/2019,Assumed Business Name,
Ferguson Waterworks,A1133174,N/A,Active Good Standing,09/26/2019,Assumed Business Name,
CHRIS PATTERSON FILMS,A174062,N/A,Inactive Expired,01/06/2010,Assumed Business Name,
Hands On Pet Grooming,A1133401,N/A,Active Good Standing,09/27/2019,Assumed Business Name,
WENDELL WILSON PIANO TUNING,A220147,N/A,Active Good Standing,10/28/2013,Assumed Business Name,
Tommy B. Robinson Photography,A1133473,N/A,Active Good Standing,10/03/2019,Assumed Business Name,
M.A.C MASONRY,A154953,N/A,Inactive Expired,04/01/2008,Assumed Business Name,
MADISON APARTMENTS OF WEST YELLOWSTONE,A055368,N/A,Involuntary Dissolution,08/19/1996,Assumed Business Name,
JOHNSON HOLE RAFT TRIPS,A040066,N/A,Inactive Expired,05/02/1994,Assumed Business Name,
SONNY TODD REAL ESTATE,A120106,N/A,"Inactive, Cancelled",02/22/2005,Assumed Business Name,
Olivia M. Swant-Johnson,A1134430,N/A,Active Good Standing,10/08/2019,Assumed Business Name,
Nelson Yoder's Construction,A1134512,N/A,Active Good Standing,10/09/2019,Assumed Business Name,
Red's Construction & Masonry,A1134730,N/A,Active Good Standing,10/10/2019,Assumed Business Name,
A. L. WILLIAMS/KEITH M. HANSON,A014959,N/A,Inactive Expired,08/19/1987,Assumed Business Name,
Jonathan J.R Peterson Construction,A1134966,N/A,Active Good Standing,10/13/2019,Assumed Business Name,
C. GUNDERSON TRUCKING,A167828,N/A,Active Good Standing,06/01/2009,Assumed Business Name,
JEN-SON OIL,A020039,N/A,Inactive Expired,05/15/1989,Assumed Business Name,
Thompson Oilfield,A1135128,N/A,Active Good Standing,10/15/2019,Assumed Business Name,
Morrison Roofing and Siding,A1135203,N/A,Active Good Standing,10/15/2019,Assumed Business Name,
P & T ENTERPRISES ON WHEELS,A000354,N/A,Inactive Expired,02/01/1980,Assumed Business Name,
EVERGREEN MASONRY,A137865,N/A,Inactive Expired,10/02/2006,Assumed Business Name,
STEWART LYNN GAMELSON,A1135346,N/A,Active Good Standing,10/17/2019,Assumed Business Name,
Tis the Season,A1135393,N/A,Active Good Standing,10/17/2019,Assumed Business Name,
Jackson Mercantile Montana,A1135591,N/A,Active Good Standing,10/18/2019,Assumed Business Name,
J Garrison Construction,A1135833,N/A,Active Good Standing,10/22/2019,Assumed Business Name,
GRAYSON HOMES,A102191,N/A,"Inactive, Cancelled",04/07/2003,Assumed Business Name,
Masonry,A1136152,N/A,Active Good Standing,10/24/2019,Assumed Business Name,
Larson home improvement,A1136172,N/A,Active Good Standing,10/24/2019,Assumed Business Name,
Nelson & Associates,A1136377,N/A,Active Good Standing,10/28/2019,Assumed Business Name,
MUNSON CONSULTING,A1136413,N/A,Active Good Standing,10/28/2019,Assumed Business Name,
Nicholson Appraisals,A1136426,N/A,Active Good Standing,10/28/2019,Assumed Business Name,
Tom E. Swanson,A1136581,N/A,Active Good Standing,10/30/2019,Assumed Business Name,
BIG JOHNSON ROOFING,A166371,N/A,Inactive Expired,04/23/2009,Assumed Business Name,
MADISON RAIN TRADING,A093721,N/A,Inactive Expired,04/02/2002,Assumed Business Name,
Turner Vinson Fine Art,A1136702,N/A,Active Good Standing,10/31/2019,Assumed Business Name,
ANDERSON/REGER PARTNERSHIP,A011749,N/A,Inactive Expired,06/16/1986,Assumed Business Name,
Jason Nichols Sprinklers,A1136874,N/A,Active Good Standing,11/01/2019,Assumed Business Name,
RICHARD E. ERICKSON/PRIMERICA FINANCIAL SERVICES,A101121,N/A,Inactive Expired,02/27/2003,Assumed Business Name,
A RAND ROBISON A NETWORK OF ESTATE PLANNING CPA'S,A069025,N/A,Inactive Expired,09/08/1998,Assumed Business Name,
Stetson and Son Construction,A1137015,N/A,Active Good Standing,11/04/2019,Assumed Business Name,
A. L. WILLIAMS/SHARYN L. HANSON OFFICE,A011497,N/A,Inactive Expired,05/13/1986,Assumed Business Name,
15 Paws on the Blackfoot,A1137227,N/A,Active Good Standing,11/05/2019,Assumed Business Name,
Justin Lagemann's Masonry,A1137416,N/A,Active Good Standing,11/07/2019,Assumed Business Name,
Friends of Polson Schools,A1137549,N/A,Active Good Standing,11/08/2019,Assumed Business Name,
Sonesta Lee Photography,A1137594,N/A,Active Good Standing,11/08/2019,Assumed Business Name,
POLSON-RONAN LUCKY LIL'S PARTNERSHIP,A088958,N/A,"Inactive, Cancelled",08/14/2001,Assumed Business Name,
MAISON MONTANA,A133648,N/A,Inactive Expired,05/12/2006,Assumed Business Name,
L J HANSON FINE ART,A237841,N/A,Active Good Standing,04/06/2015,Assumed Business Name,
ANDERSONS' AIR CONDITIONING AND HEATING,A021702,N/A,Inactive Expired,12/04/1989,Assumed Business Name,
NICOLE C. JOHNSON CERAMICS,A199633,N/A,Inactive Expired,02/14/2012,Assumed Business Name,
N.H. MASONRY,A086546,N/A,Inactive Expired,04/16/2001,Assumed Business Name,
PAULSON REAL ESTATE,A023206,N/A,"Inactive, Cancelled",05/03/1990,Assumed Business Name,
A. L. WILLIAMS/LESLIE DRISCOLL THOMSON,A019406,N/A,Inactive Expired,03/08/1989,Assumed Business Name,
A. L. WILLIAMS/DAN RAY ATKINSON,A021777,N/A,Inactive Expired,12/11/1989,Assumed Business Name,
DOBSON TILE,A224042,N/A,Inactive Expired,02/27/2014,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES-PATTY PETERSON OFFICE,A123214,N/A,Inactive Expired,06/06/2005,Assumed Business Name,
SUMMIT MASSAGE AND PERSONAL TRAINING,A203333,N/A,Inactive Expired,05/29/2012,Assumed Business Name,
A. L. WILLIAMS/WILKINSON OFFICE,A005132,N/A,Inactive Expired,11/10/1983,Assumed Business Name,
TY ANDERSON HANDCRAFTING,A037658,N/A,Inactive Expired,12/10/1993,Assumed Business Name,
SORENSON INSURANCE,A003512,N/A,"Inactive, Cancelled",12/15/1982,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES / MARIAH ANDERSON,A210473,N/A,Inactive Expired,01/09/2013,Assumed Business Name,
ANDERSON CROWN AND BRIDGE,A022586,N/A,Inactive Expired,12/05/1991,Assumed Business Name,
JOHNSON-FRYE CONSTRUCTION,A067367,N/A,"Inactive, Cancelled",06/08/1998,Assumed Business Name,
"GOODWIN, DONALDSON, WERNER, STREKALL & BATEY DOCTORS PARTNE*",A007541,N/A,Inactive Expired,12/28/1984,Assumed Business Name,
SCENIC RIDGE MASONRY,A226910,N/A,Inactive Expired,05/15/2014,Assumed Business Name,
A. L. WILLIAMS/STEVE J. NELSON OFFICE,A019095,N/A,Inactive Expired,01/31/1989,Assumed Business Name,
BURT BEVIS & SON CONSTRUCTION & TRUCKING,A191765,N/A,Active Good Standing,06/10/2011,Assumed Business Name,
KNUDSONPAINT.COM,A077589,N/A,Inactive Expired,01/05/2000,Assumed Business Name,
FLAVOURS - A PERSONAL CHEF SERVICE,A086733,N/A,Inactive Expired,04/24/2001,Assumed Business Name,
LINDA IVERSON LANDSCAPE DESIGN,A172954,N/A,Active Pending Expiration,11/27/2009,Assumed Business Name,
D&R HANSON ENTERPRISES,A066535,N/A,Active Good Standing,04/22/1998,Assumed Business Name,
THE OLSON GROUP,A134873,N/A,Inactive Revocation,06/26/2006,Assumed Business Name,
GREGG RICHESON HANDYMAN SERVICE,A217428,N/A,Inactive Expired,08/05/2013,Assumed Business Name,
NELSON AND DEREU EXCAVATION,A053352,N/A,Inactive Expired,05/03/1996,Assumed Business Name,
PRIMERICA FINANCIAL SERVICES/BRUCE W ANDERSON,A141722,N/A,Inactive Expired,03/02/2007,Assumed Business Name,
ESPRESSO NIRVANA,A118230,N/A,"Inactive, Cancelled",12/21/2004,Assumed Business Name,
JOHNSON'S DIAL A TIRE,A095797,N/A,Inactive Expired,06/26/2002,Assumed Business Name,
NELSON RESERVOIR RECREATION ASSOC.,A062378,N/A,Inactive Expired,09/10/1997,Assumed Business Name,
RUTTINGER & LARSON INSURANCE SERVICES,A200214,N/A,"Inactive, Cancelled",03/01/2012,Assumed Business Name,
"COMPARISONMARKET INSURANCE AGENCY, INC.",A124455,N/A,Inactive Expired,07/25/2005,Assumed Business Name,
ROCKIN MASONRY & TILE,A167289,N/A,Inactive Expired,05/13/2009,Assumed Business Name,
ANDERSON BONDING,A213743,N/A,Active Good Standing,04/10/2013,Assumed Business Name,
LIVING STONE MASONRY AND EXCAVATION,A111454,N/A,Inactive Expired,04/01/2004,Assumed Business Name,
LEIGGISONGS,A078841,N/A,Inactive Expired,03/10/2000,Assumed Business Name,
